cust, cap, prov, use, bought, problems
50, 20, 2, 4, 14.899999999999999, 0
50, 20, 2, 6, 14.899999999999997, 0
50, 20, 4, 0, 9.899999999999999, 0
50, 20, 4, 2, 10.399999999999997, 0
50, 20, 4, 4, 7.999999999999996, 0
50, 20, 4, 6, 12.899999999999997, 0
50, 20, 6, 0, 8.9, 0
50, 20, 6, 2, 8.900000000000002, 0
50, 20, 6, 4, 8.899999999999995, 0
50, 20, 6, 6, 9.899999999999993, 0
50, 26, 0, 0, 27.200000000000003, 0
50, 26, 0, 2, 26.999999999999996, 0
50, 26, 0, 4, 24.900000000000002, 0
50, 26, 0, 6, 28.500000000000004, 0
50, 26, 2, 0, 17.1, 0
50, 26, 2, 2, 15.999999999999995, 0
50, 26, 2, 4, 14.399999999999997, 0
50, 26, 2, 6, 14.399999999999997, 0
50, 26, 4, 0, 9.699999999999996, 0
50, 26, 4, 2, 10.399999999999995, 0
50, 26, 4, 4, 12.299999999999992, 0
50, 26, 4, 6, 10.899999999999993, 0
50, 26, 6, 0, 9.19999999999999, 0
50, 26, 6, 2, 7.999999999999998, 0
50, 26, 6, 4, 8.499999999999996, 0
50, 26, 6, 6, 8.599999999999998, 0
50, 40, 0, 0, 24.3, 0
50, 40, 0, 2, 28.800000000000004, 0
50, 40, 0, 4, 28.499999999999996, 0
50, 40, 0, 6, 27.200000000000003, 0
50, 40, 2, 0, 13.899999999999997, 0
50, 40, 2, 2, 13.499999999999995, 0
50, 40, 2, 4, 13.899999999999995, 0
50, 40, 2, 6, 13.2, 0
50, 40, 4, 0, 9.999999999999996, 0
50, 40, 4, 2, 9.899999999999995, 0
50, 40, 4, 4, 10.099999999999993, 0
50, 40, 4, 6, 10.999999999999996, 0
50, 40, 6, 0, 9.499999999999993, 0
50, 40, 6, 2, 8.699999999999996, 0
50, 40, 6, 4, 8.499999999999996, 0
50, 40, 6, 6, 8.899999999999997, 0
100, 20, 0, 0, 58.099999999999994, 86400
100, 20, 0, 2, 56.29999999999998, 811
100, 20, 0, 4, 57.599999999999994, 0
100, 20, 0, 6, 51.99999999999999, 0
100, 20, 2, 0, 32.4, 1854
100, 20, 2, 2, 30.10000000000001, 0
100, 20, 2, 4, 29.600000000000026, 0
